iter	Passed	Remaining
402	11171	13887
403	11197	13858
404	11226	13832
405	11256	13807
406	11282	13778
407	11309	13748
408	11334	13718
409	11361	13689
410	11385	13657
411	11414	13630
412	11438	13599
413	11464	13569
414	11491	13541
415	11517	13510
416	11544	13482
417	11570	13452
418	11596	13422
419	11621	13392
420	11625	13337
421	11650	13306
422	11675	13276
423	11701	13246
424	11725	13215
425	11751	13186
426	11779	13158
427	11807	13131
428	11833	13101
429	11858	13071
430	11887	13045
431	11913	13016
432	11941	12989
433	11966	12959
434	11993	12930
435	12020	12902
436	12046	12873
437	12072	12844
438	12097	12814
439	12123	12785
440	12149	12755
441	12176	12727
442	12203	12699
443	12229	12669
444	12258	12643
445	12284	12614
446	12310	12586
447	12336	12556
448	12361	12526
449	12388	12498
450	12415	12470
451	12441	12441
452	12467	12412
453	12494	12384
454	12521	12355
455	12549	12328
456	12574	12299
457	12602	12271
458	12630	12245
459	12657	12217
460	12684	12188
461	12710	12160
462	12735	12130
463	12784	12122
464	12808	12092
465	12833	12062
466	12859	12033
467	12884	12003
468	12913	11976
469	12937	11946
470	12961	11916
471	12986	11885
472	13010	11855
473	13035	11825
474	13062	11797
475	13087	11767
476	13114	11740
477	13139	11710
478	13167	11682
479	13193	11654
480	13218	11624
481	13245	11596
482	13270	11567
483	13296	11538
484	13321	11509
485	13346	11479
486	13375	11453
487	13401	11424
488	13426	11394
489	13453	11366
490	13481	11340
491	13506	11310
492	13532	11281
493	13557	11252
494	13587	11226
495	13616	11200
496	13642	11171
497	13667	11142
498	13696	11116
499	13723	11088
500	13752	11062
501	13780	11035
502	13808	11008
503	13835	10980
504	13860	10951
505	13886	10922
506	13912	10894
507	13937	10864
508	13963	10836
509	13990	10808
510	13994	10762
511	14019	10733
512	14046	10706
513	14073	10678
514	14099	10650
515	14126	10622
516	14151	10593
517	14177	10564
518	14205	10537
519	14229	10508
520	14253	10478
521	14279	10449
522	14306	10422
523	14331	10393
524	14358	10365
525	14383	10336
526	14407	10306
527	14434	10278
528	14462	10251
529	14488	10223
530	14516	10196
531	14541	10168
532	14582	10150
533	14609	10122
534	14657	10109
535	14685	10082
536	14713	10055
537	14739	10026
538	14767	10000
539	14793	9972
540	14820	9944
541	14846	9915
542	14870	9886
543	14896	9858
