iter	Logloss
0	0.6917565669
1	0.6905586951
2	0.6887759746
3	0.6876439937
4	0.6862212624
5	0.6842374451
6	0.6830938783
7	0.6818788176
8	0.6800374437
9	0.6787246001
10	0.6776462653
11	0.676939226
12	0.6754909611
13	0.6744303524
14	0.6741338749
15	0.673665044
16	0.6720983747
17	0.6708631976
18	0.6704256512
19	0.66902774
20	0.6681615925
21	0.6670478117
22	0.6654899363
23	0.6644062111
24	0.6634111308
25	0.6622158624
26	0.6613614632
27	0.660294053
28	0.6593102593
29	0.6580049388
30	0.6565931189
31	0.6550015344
32	0.6535183506
33	0.6524273951
34	0.651740556
35	0.6506936745
36	0.6499482137
37	0.6492416979
38	0.6479387307
39	0.6469317019
40	0.6463786033
41	0.6458106462
42	0.6450005154
43	0.6437056506
44	0.6429360855
45	0.6419712511
46	0.6405482469
47	0.6398037487
48	0.6390364163
49	0.637708083
50	0.637168661
51	0.6364021437
52	0.634848242
53	0.6346893298
54	0.6342109545
55	0.633423426
56	0.6321537162
57	0.6305726613
58	0.629342525
59	0.6280340633
60	0.6271021659
61	0.6257784155
62	0.6255650892
63	0.6245044032
64	0.623411631
65	0.6225341605
66	0.621831469
67	0.6210991954
68	0.6205429229
69	0.6198581928
70	0.6194987135
71	0.6185450814
72	0.617851058
73	0.6174614063
74	0.615860931
75	0.6147417175
76	0.6142333805
77	0.6132892457
78	0.6121534668
79	0.6111305255
80	0.610335355
81	0.6090408999
82	0.6083101112
83	0.6078045717
84	0.6068841741
85	0.6061155867
86	0.6052105032
87	0.6041810883
88	0.6034294342
89	0.6018774813
90	0.6014025993
91	0.6008035104
92	0.5994987001
93	0.5988117472
94	0.5977810193
95	0.5971990081
96	0.5964880298
97	0.5960090593
98	0.5955391403
99	0.5949916594
100	0.5941719992
101	0.5935136017
102	0.5931248962
103	0.5921679808
104	0.5917702924
105	0.5910931061
106	0.5905574894
107	0.5901059575
108	0.5893323089
109	0.5887260632
110	0.5877668254
111	0.5871190182
112	0.5864363582
113	0.5860524205
114	0.585138825
115	0.58456984
116	0.5836797076
117	0.5830784847
118	0.5820947626
119	0.5809186968
120	0.5800560321
121	0.5794109217
122	0.5787869346
123	0.5777646924
124	0.577050638
125	0.5761288737
126	0.5753891054
127	0.575172186
128	0.5744606208
129	0.5736928074
130	0.5729927228
131	0.5723889864
132	0.5714021064
133	0.5706272882
134	0.5701670239
135	0.5695401884
136	0.569009632
137	0.5685998636
138	0.5679181387
139	0.5670061921
140	0.5664151651
